Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII,WFG4_3,HV,4,0.3438615433798093
NSGAII,WFG6_3,HV,0,0.332739384199544
NSGAII,WFG6_3,HV,1,0.3396334567154052
NSGAII,WFG6_3,HV,2,0.29401932581114704
NSGAII,WFG6_3,HV,3,0.3180257102280508
NSGAII,WFG6_3,HV,4,0.3212662757293399
NSGAII,WFG7_3,HV,0,0.3491407772798608
NSGAII,WFG7_3,HV,1,0.3594323560765623
NSGAII,WFG7_3,HV,2,0.3561331204130757
NSGAII,WFG7_3,HV,3,0.34833496322265767
NSGAII,WFG7_3,HV,4,0.34811116418659765
NSGAII,WFG8_3,HV,0,0.2808283144277092
NSGAII,WFG8_3,HV,1,0.28485984272842413
NSGAII,WFG8_3,HV,2,0.26470974222216376
NSGAII,WFG8_3,HV,3,0.27094714076676907
NSGAII,WFG8_3,HV,4,0.2710724616689373
NSGAII,WFG9_3,HV,0,0.29634332319656304
NSGAII,WFG9_3,HV,1,0.29162728359374573
NSGAII,WFG9_3,HV,2,0.2821210721748684
NSGAII,WFG9_3,HV,3,0.2813169213550303
NSGAII,WFG9_3,HV,4,0.2945850352332902
NSGAII,WFG1_5,HV,0,0.21709855833376018
NSGAII,WFG1_5,HV,1,0.10653362235848018
NSGAII,WFG1_5,HV,2,0.12039962660138463
NSGAII,WFG1_5,HV,3,0.16023601781051647
NSGAII,WFG1_5,HV,4,0.07786289802419628
NSGAII,WFG2_5,HV,0,0.8638545066900578
NSGAII,WFG2_5,HV,1,0.7609024182882447
NSGAII,WFG2_5,HV,2,0.8444774932691747
NSGAII,WFG2_5,HV,3,0.8611342548735785
NSGAII,WFG2_5,HV,4,0.8694774024288184
NSGAII,WFG3_5,HV,0,0.1291411159363491
NSGAII,WFG3_5,HV,1,0.12902150140010246
NSGAII,WFG3_5,HV,2,0.11707158238135502
NSGAII,WFG3_5,HV,3,0.13220872905074213
NSGAII,WFG3_5,HV,4,0.09384646646195582
NSGAII,WFG5_5,HV,0,0.4544707217762147
NSGAII,WFG5_5,HV,1,0.44382147354572826
NSGAII,WFG5_5,HV,2,0.4572696238459918
NSGAII,WFG5_5,HV,3,0.4438808064699045
NSGAII,WFG5_5,HV,4,0.4192275267586103
NSGAII,WFG4_5,HV,0,0.3392330318548361
NSGAII,WFG4_5,HV,1,0.3470343483304191
NSGAII,WFG4_5,HV,2,0.3658622298534384
NSGAII,WFG4_5,HV,3,0.34931264734084544
NSGAII,WFG4_5,HV,4,0.3537224105868235
NSGAII,WFG6_5,HV,0,0.37462418785567136
NSGAII,WFG6_5,HV,1,0.3809107681992318
NSGAII,WFG6_5,HV,2,0.4015824934966014
NSGAII,WFG6_5,HV,3,0.39283509046435333
NSGAII,WFG6_5,HV,4,0.3879838791941047
NSGAII,WFG7_5,HV,0,0.30315816307824395
NSGAII,WFG7_5,HV,1,0.2882220932491245
NSGAII,WFG7_5,HV,2,0.30973193006979155
